Transcript	DataBase.x	ProteinCode.x	ProteinName.x	DataBase.y	ProteinCode.y	ProteinName.y
TRINITY_DN1949_c0_g1_i3	sp	Q3TV65	MPND_MOUSE	NA	NA	NA
TRINITY_DN1949_c0_g1_i4	sp	Q3TV65	MPND_MOUSE	NA	NA	NA
TRINITY_DN1949_c2_g1_i14	sp	O14974	MYPT1_HUMAN	NA	NA	NA
TRINITY_DN1949_c2_g1_i19	sp	O14974	MYPT1_HUMAN	NA	NA	NA
TRINITY_DN1949_c2_g1_i20	sp	O14974	MYPT1_HUMAN	NA	NA	NA
TRINITY_DN1949_c2_g1_i24	sp	O14974	MYPT1_HUMAN	NA	NA	NA
TRINITY_DN1949_c2_g1_i5	sp	Q8BG95	MYPT2_MOUSE	NA	NA	NA
TRINITY_DN1949_c2_g1_i6	sp	O14974	MYPT1_HUMAN	NA	NA	NA
TRINITY_DN1949_c2_g1_i9	sp	O60237	MYPT2_HUMAN	NA	NA	NA
TRINITY_DN19490_c0_g1_i1	sp	Q949P2	COPDA_ARATH	NA	NA	NA
TRINITY_DN19492_c0_g1_i10	sp	Q9UN70	PCDGK_HUMAN	NA	NA	NA
TRINITY_DN19492_c0_g1_i12	sp	Q9UN70	PCDGK_HUMAN	NA	NA	NA
TRINITY_DN19492_c0_g1_i22	sp	Q9UN70	PCDGK_HUMAN	NA	NA	NA
TRINITY_DN19492_c0_g1_i27	sp	Q9Y5F0	PCDBD_HUMAN	NA	NA	NA
TRINITY_DN19492_c0_g1_i32	sp	Q9Y5H6	PCDA8_HUMAN	NA	NA	NA
TRINITY_DN19492_c0_g1_i7	sp	Q5DRA3	PCDGL_PANTR	NA	NA	NA
TRINITY_DN19492_c1_g1_i1	sp	Q9Y5H6	PCDA8_HUMAN	NA	NA	NA
TRINITY_DN19493_c0_g1_i1	sp	P0CG23	ZN853_HUMAN	NA	NA	NA
TRINITY_DN19493_c1_g1_i2	sp	Q6ZMW2	ZN782_HUMAN	NA	NA	NA
TRINITY_DN19493_c1_g1_i3	sp	Q6ZMW2	ZN782_HUMAN	NA	NA	NA
TRINITY_DN19493_c1_g1_i4	sp	Q15937	ZNF79_HUMAN	NA	NA	NA
TRINITY_DN19493_c1_g1_i7	sp	Q3ZCX4	ZN568_HUMAN	NA	NA	NA
TRINITY_DN19493_c1_g2_i1	sp	P08042	ZFP1_MOUSE	NA	NA	NA
TRINITY_DN19496_c0_g1_i4	sp	J9VQC4	GOE1_CRYNH	NA	NA	NA
TRINITY_DN19496_c1_g3_i1	sp	Q6ZMW2	ZN782_HUMAN	NA	NA	NA
TRINITY_DN19497_c0_g1_i1	sp	Q924Z6	XPO6_MOUSE	NA	NA	NA
TRINITY_DN19498_c1_g1_i1	sp	Q9VNM1	NPFR_DROME	NA	NA	NA
TRINITY_DN195_c2_g1_i1	sp	Q9QZB9	DCTN5_MOUSE	NA	NA	NA
TRINITY_DN19501_c0_g1_i13	sp	P0CT40	TF29_SCHPO	NA	NA	NA
TRINITY_DN19501_c0_g1_i4	sp	Q09575	YRD6_CAEEL	NA	NA	NA
TRINITY_DN19501_c0_g1_i7	sp	Q09575	YRD6_CAEEL	NA	NA	NA
TRINITY_DN19504_c0_g1_i1	sp	P18729	ZG57_XENLA	NA	NA	NA
TRINITY_DN1951_c0_g1_i12	sp	A8MU46	SMTL1_HUMAN	NA	NA	NA
TRINITY_DN1951_c0_g1_i15	sp	A8MU46	SMTL1_HUMAN	NA	NA	NA
TRINITY_DN1951_c0_g1_i16	sp	A8MU46	SMTL1_HUMAN	NA	NA	NA
TRINITY_DN1951_c0_g1_i18	sp	A8MU46	SMTL1_HUMAN	NA	NA	NA
TRINITY_DN1951_c0_g1_i21	sp	A8MU46	SMTL1_HUMAN	NA	NA	NA
TRINITY_DN1951_c0_g1_i24	sp	A8MU46	SMTL1_HUMAN	NA	NA	NA
TRINITY_DN1951_c0_g1_i25	sp	A8MU46	SMTL1_HUMAN	NA	NA	NA
TRINITY_DN1951_c0_g1_i26	sp	A8MU46	SMTL1_HUMAN	NA	NA	NA
TRINITY_DN1951_c0_g1_i28	sp	A8MU46	SMTL1_HUMAN	NA	NA	NA
TRINITY_DN1951_c0_g1_i4	sp	A8MU46	SMTL1_HUMAN	NA	NA	NA
TRINITY_DN1951_c0_g1_i6	sp	Q6PDN3	MYLK_MOUSE	NA	NA	NA
TRINITY_DN1951_c0_g1_i7	sp	A8MU46	SMTL1_HUMAN	NA	NA	NA
TRINITY_DN19510_c0_g1_i1	sp	Q9JLC3	MSRB1_MOUSE	NA	NA	NA
TRINITY_DN19514_c0_g1_i2	sp	Q96MY7	F161B_HUMAN	NA	NA	NA
TRINITY_DN19514_c0_g1_i3	sp	Q96MY7	F161B_HUMAN	NA	NA	NA
TRINITY_DN19514_c0_g1_i8	sp	Q96MY7	F161B_HUMAN	NA	NA	NA
TRINITY_DN19518_c1_g1_i1	sp	Q9N003	ZN425_MACFA	NA	NA	NA
TRINITY_DN19518_c3_g2_i1	sp	Q80X44	ZBT24_MOUSE	NA	NA	NA
TRINITY_DN19518_c3_g2_i2	sp	Q96JL9	ZN333_HUMAN	NA	NA	NA
TRINITY_DN19518_c4_g1_i1	sp	P18751	ZO71_XENLA	NA	NA	NA
TRINITY_DN1952_c0_g1_i2	sp	P05099	MATN1_CHICK	NA	NA	NA
TRINITY_DN1952_c0_g2_i1	sp	Q99715	COCA1_HUMAN	NA	NA	NA
TRINITY_DN1952_c1_g1_i1	sp	P05099	MATN1_CHICK	NA	NA	NA
TRINITY_DN19523_c1_g1_i1	sp	Q4W5G0	TIGD2_HUMAN	sp	Q4W5G0	TIGD2_HUMAN
TRINITY_DN19524_c0_g1_i1	sp	Q6DG43	UBTD2_DANRE	NA	NA	NA
TRINITY_DN19525_c0_g1_i2	sp	Q8WWF8	CAPSL_HUMAN	NA	NA	NA
TRINITY_DN19525_c0_g1_i3	sp	Q6P8Y1	CAPSL_MOUSE	NA	NA	NA
TRINITY_DN19526_c0_g1_i1	sp	Q8K339	KIN17_MOUSE	NA	NA	NA
TRINITY_DN19526_c0_g1_i2	sp	Q8K339	KIN17_MOUSE	NA	NA	NA
TRINITY_DN19526_c0_g1_i4	sp	Q8K339	KIN17_MOUSE	NA	NA	NA
TRINITY_DN19526_c0_g1_i5	sp	Q8K339	KIN17_MOUSE	NA	NA	NA
TRINITY_DN19526_c0_g1_i8	sp	Q8K339	KIN17_MOUSE	NA	NA	NA
TRINITY_DN19526_c1_g1_i1	sp	Q8ILR9	YPF17_PLAF7	NA	NA	NA
TRINITY_DN19527_c0_g1_i1	sp	Q4R8R3	CC112_MACFA	NA	NA	NA
TRINITY_DN19527_c0_g1_i2	sp	Q4R8R3	CC112_MACFA	NA	NA	NA
TRINITY_DN19527_c0_g1_i3	sp	Q4R8R3	CC112_MACFA	NA	NA	NA
TRINITY_DN19527_c0_g2_i1	sp	A0AUP1	CC112_MOUSE	NA	NA	NA
TRINITY_DN19527_c0_g2_i2	sp	A0AUP1	CC112_MOUSE	NA	NA	NA
TRINITY_DN19527_c0_g2_i3	sp	Q8NEF3	CC112_HUMAN	NA	NA	NA
TRINITY_DN19528_c0_g1_i3	sp	A7RX26	HUTI_NEMVE	NA	NA	NA
TRINITY_DN19528_c0_g1_i6	sp	A7RX26	HUTI_NEMVE	NA	NA	NA
TRINITY_DN1953_c0_g1_i1	sp	Q16943	VP33_APLCA	NA	NA	NA
TRINITY_DN1953_c0_g1_i4	sp	Q16943	VP33_APLCA	NA	NA	NA
TRINITY_DN1953_c0_g1_i5	sp	Q16943	VP33_APLCA	NA	NA	NA
TRINITY_DN19531_c0_g1_i8	sp	P20825	POL2_DROME	NA	NA	NA
TRINITY_DN19531_c0_g2_i1	sp	Q87040	POL_SFVCP	NA	NA	NA
TRINITY_DN19531_c0_g3_i1	sp	Q8NFR7	CC148_HUMAN	NA	NA	NA
TRINITY_DN19533_c0_g1_i15	sp	Q3ZCU0	GVQW3_HUMAN	NA	NA	NA
TRINITY_DN19534_c0_g1_i1	sp	O43422	P52K_HUMAN	NA	NA	NA
TRINITY_DN19537_c0_g1_i1	sp	Q5REH2	ZDHC6_PONAB	NA	NA	NA
TRINITY_DN19537_c0_g1_i2	sp	Q5REH2	ZDHC6_PONAB	NA	NA	NA
TRINITY_DN19537_c0_g1_i3	sp	Q400C8	AMZ2_MOUSE	NA	NA	NA
TRINITY_DN19541_c1_g1_i1	sp	P79110	TXTP_BOVIN	NA	NA	NA
TRINITY_DN19541_c1_g1_i2	sp	P34519	TXTP_CAEEL	NA	NA	NA
TRINITY_DN19541_c1_g1_i3	sp	P79110	TXTP_BOVIN	NA	NA	NA
TRINITY_DN19542_c0_g1_i2	sp	Q7JQ07	MOS1T_DROMA	sp	Q7JQ07	MOS1T_DROMA
TRINITY_DN19544_c1_g1_i3	sp	Q53H47	SETMR_HUMAN	sp	Q53H47	SETMR_HUMAN
TRINITY_DN19547_c0_g1_i3	sp	Q6GR35	ABITM_XENLA	NA	NA	NA
TRINITY_DN19547_c0_g1_i4	sp	Q1LU93	ABITM_DANRE	NA	NA	NA
TRINITY_DN19552_c0_g1_i2	sp	Q60739	BAG1_MOUSE	NA	NA	NA
TRINITY_DN19552_c0_g1_i3	sp	Q60739	BAG1_MOUSE	NA	NA	NA
TRINITY_DN19552_c0_g1_i4	sp	Q99933	BAG1_HUMAN	NA	NA	NA
TRINITY_DN19556_c0_g1_i3	sp	Q96JC4	ZN479_HUMAN	NA	NA	NA
TRINITY_DN19556_c0_g2_i1	sp	P10073	ZSC22_HUMAN	NA	NA	NA
TRINITY_DN19556_c0_g2_i3	sp	Q07230	ZSCA2_MOUSE	NA	NA	NA
TRINITY_DN19556_c0_g3_i1	sp	Q96NI8	ZN570_HUMAN	NA	NA	NA
TRINITY_DN19556_c0_g3_i3	sp	P0CG24	ZN883_HUMAN	NA	NA	NA
TRINITY_DN19556_c0_g4_i1	sp	Q5R5U3	ZN271_PONAB	NA	NA	NA
TRINITY_DN19556_c0_g5_i1	sp	Q6ZNG1	ZN600_HUMAN	NA	NA	NA
TRINITY_DN19556_c1_g1_i1	sp	A0JNB1	ZN227_BOVIN	NA	NA	NA
TRINITY_DN19556_c1_g1_i2	sp	A0JNB1	ZN227_BOVIN	NA	NA	NA
TRINITY_DN19559_c0_g1_i1	sp	A6NP11	ZN716_HUMAN	NA	NA	NA
TRINITY_DN19559_c0_g1_i2	sp	A6NP11	ZN716_HUMAN	NA	NA	NA
TRINITY_DN19563_c0_g1_i2	sp	Q32N32	GOLM2_XENLA	NA	NA	NA
TRINITY_DN19563_c0_g1_i3	sp	Q32N32	GOLM2_XENLA	NA	NA	NA
TRINITY_DN19563_c0_g1_i4	sp	Q32N32	GOLM2_XENLA	NA	NA	NA
TRINITY_DN19563_c0_g1_i5	sp	Q32N32	GOLM2_XENLA	NA	NA	NA
TRINITY_DN19563_c0_g1_i6	sp	Q32N32	GOLM2_XENLA	NA	NA	NA
TRINITY_DN19571_c0_g1_i1	sp	Q96RE9	ZN300_HUMAN	NA	NA	NA
TRINITY_DN19571_c0_g3_i1	sp	Q96NI8	ZN570_HUMAN	NA	NA	NA
TRINITY_DN19572_c0_g1_i1	sp	Q568B7	QTMAN_DANRE	NA	NA	NA
TRINITY_DN19572_c0_g1_i3	sp	Q568B7	QTMAN_DANRE	NA	NA	NA
TRINITY_DN19572_c0_g2_i1	sp	Q568B7	QTMAN_DANRE	NA	NA	NA
TRINITY_DN19572_c0_g2_i2	sp	Q4V7R4	QTMAN_XENLA	NA	NA	NA
TRINITY_DN19572_c0_g2_i3	sp	Q4V7R4	QTMAN_XENLA	NA	NA	NA
TRINITY_DN19572_c0_g2_i4	sp	Q53E76	QTMAN_RAT	NA	NA	NA
TRINITY_DN19572_c0_g2_i5	sp	Q4V7R4	QTMAN_XENLA	NA	NA	NA
TRINITY_DN19572_c0_g2_i6	sp	Q4V7R4	QTMAN_XENLA	NA	NA	NA
TRINITY_DN19572_c0_g2_i7	sp	Q4V7R4	QTMAN_XENLA	NA	NA	NA
TRINITY_DN19572_c0_g2_i8	sp	Q6R2W3	SCND3_HUMAN	NA	NA	NA
TRINITY_DN19574_c1_g1_i1	sp	Q5RFH0	ATP5L_PONAB	NA	NA	NA
TRINITY_DN19574_c1_g1_i2	sp	Q5RFH0	ATP5L_PONAB	NA	NA	NA
TRINITY_DN19576_c1_g1_i1	sp	Q61670	HLX_MOUSE	NA	NA	NA
TRINITY_DN19581_c0_g1_i1	sp	Q9R0N9	SYT9_MOUSE	NA	NA	NA
TRINITY_DN1959_c2_g2_i1	sp	Q6DDA3	CSN9_XENTR	NA	NA	NA
TRINITY_DN19591_c0_g1_i1	sp	A0JNB1	ZN227_BOVIN	NA	NA	NA
TRINITY_DN19599_c0_g1_i1	sp	Q6ZMW2	ZN782_HUMAN	NA	NA	NA
TRINITY_DN1960_c0_g1_i11	sp	P35573	GDE_HUMAN	NA	NA	NA
TRINITY_DN1960_c0_g1_i19	sp	P35573	GDE_HUMAN	NA	NA	NA
TRINITY_DN1960_c0_g1_i21	sp	P35573	GDE_HUMAN	NA	NA	NA
TRINITY_DN1960_c0_g1_i35	sp	Q6ZQT0	YD023_HUMAN	NA	NA	NA
TRINITY_DN19600_c0_g1_i1	sp	Q96MU6	ZN778_HUMAN	NA	NA	NA
TRINITY_DN19600_c1_g1_i1	sp	Q96LW9	ZSC31_HUMAN	NA	NA	NA
TRINITY_DN19600_c2_g1_i1	sp	P0C6Y7	PRDM9_RAT	NA	NA	NA
TRINITY_DN19607_c0_g1_i1	sp	P51523	ZNF84_HUMAN	NA	NA	NA
TRINITY_DN19607_c0_g1_i2	sp	P51523	ZNF84_HUMAN	NA	NA	NA
TRINITY_DN19609_c0_g1_i1	sp	Q923Z4	FER3L_MOUSE	NA	NA	NA
TRINITY_DN1961_c0_g1_i1	sp	O88761	PSMD1_RAT	NA	NA	NA
TRINITY_DN1961_c0_g2_i1	sp	Q5F418	PSMD1_CHICK	NA	NA	NA
TRINITY_DN1961_c1_g1_i1	sp	P61210	ARF1_LOCMI	NA	NA	NA
TRINITY_DN19610_c3_g1_i1	sp	Q9DAN9	CF97D_MOUSE	NA	NA	NA
TRINITY_DN19610_c3_g1_i4	sp	Q9DAN9	CF97D_MOUSE	NA	NA	NA
TRINITY_DN19611_c0_g1_i1	sp	Q5R9S5	ZN182_PONAB	NA	NA	NA
TRINITY_DN19617_c0_g1_i10	sp	P00129	QCR7_BOVIN	NA	NA	NA
TRINITY_DN19617_c0_g1_i11	sp	P00129	QCR7_BOVIN	NA	NA	NA
TRINITY_DN19617_c0_g1_i12	sp	P00129	QCR7_BOVIN	NA	NA	NA
TRINITY_DN19617_c0_g1_i9	sp	P00129	QCR7_BOVIN	NA	NA	NA
TRINITY_DN1962_c0_g1_i4	sp	Q95WA0	RL26_LITLI	NA	NA	NA
TRINITY_DN1962_c0_g1_i5	sp	Q95WA0	RL26_LITLI	NA	NA	NA
TRINITY_DN19624_c0_g1_i1	sp	Q810V0	MPP10_MOUSE	NA	NA	NA
TRINITY_DN19627_c0_g1_i1	sp	Q96JI7	SPTCS_HUMAN	NA	NA	NA
TRINITY_DN19627_c3_g1_i3	sp	Q7RTX9	MOT14_HUMAN	NA	NA	NA
TRINITY_DN19627_c3_g1_i7	sp	Q7RTX9	MOT14_HUMAN	NA	NA	NA
TRINITY_DN19627_c3_g1_i8	sp	Q7RTX9	MOT14_HUMAN	NA	NA	NA
TRINITY_DN19628_c1_g1_i5	sp	P03934	TC1A_CAEEL	sp	P03934	TC1A_CAEEL
TRINITY_DN19628_c1_g3_i1	sp	P35072	TCB1_CAEBR	NA	NA	NA
TRINITY_DN19630_c0_g1_i8	NA	NA	NA	sp	Q03278	PO21_NASVI
TRINITY_DN1964_c0_g3_i1	sp	Q96HH6	TMM19_HUMAN	NA	NA	NA
TRINITY_DN1965_c0_g1_i1	sp	P51523	ZNF84_HUMAN	NA	NA	NA
TRINITY_DN1965_c0_g3_i1	sp	P51523	ZNF84_HUMAN	NA	NA	NA
TRINITY_DN1965_c0_g4_i1	sp	P51523	ZNF84_HUMAN	NA	NA	NA
TRINITY_DN1965_c1_g1_i2	sp	Q06732	ZN33B_HUMAN	NA	NA	NA
TRINITY_DN1965_c1_g2_i1	sp	Q9Y2H8	ZN510_HUMAN	NA	NA	NA
TRINITY_DN1965_c2_g1_i1	sp	Q96EQ9	PRDM9_MOUSE	NA	NA	NA
TRINITY_DN1965_c3_g1_i1	sp	P10076	ZFP26_MOUSE	NA	NA	NA
TRINITY_DN1965_c3_g2_i1	sp	Q6ZMW2	ZN782_HUMAN	NA	NA	NA
TRINITY_DN1965_c3_g3_i1	sp	Q96CX3	ZN501_HUMAN	NA	NA	NA
TRINITY_DN1965_c3_g3_i3	sp	Q96NI8	ZN570_HUMAN	NA	NA	NA
TRINITY_DN1965_c3_g3_i4	sp	Q96NI8	ZN570_HUMAN	NA	NA	NA
TRINITY_DN1965_c3_g3_i5	sp	Q6ZNH5	ZN497_HUMAN	NA	NA	NA
TRINITY_DN1965_c3_g3_i7	sp	A6NK53	ZN233_HUMAN	NA	NA	NA
TRINITY_DN1965_c3_g3_i8	sp	P10073	ZSC22_HUMAN	NA	NA	NA
TRINITY_DN1965_c3_g3_i9	sp	A0A1W2PQL4	ZN722_HUMAN	NA	NA	NA
TRINITY_DN1965_c3_g4_i1	sp	Q8TC21	ZN596_HUMAN	NA	NA	NA
TRINITY_DN1965_c3_g5_i1	sp	Q6ZMW2	ZN782_HUMAN	NA	NA	NA
TRINITY_DN1965_c3_g6_i1	sp	Q6ZMW2	ZN782_HUMAN	NA	NA	NA
TRINITY_DN1965_c3_g7_i1	sp	A6NK53	ZN233_HUMAN	NA	NA	NA
TRINITY_DN1965_c6_g1_i1	sp	A8MTY0	ZN724_HUMAN	NA	NA	NA
TRINITY_DN19651_c0_g1_i1	sp	Q5ZKQ8	ARL8A_CHICK	NA	NA	NA
TRINITY_DN19658_c0_g1_i1	sp	O93567	ZBT7A_CHICK	NA	NA	NA
TRINITY_DN19663_c0_g1_i1	sp	Q6ZMW2	ZN782_HUMAN	NA	NA	NA
TRINITY_DN19665_c0_g1_i1	sp	P49847	TAF6_DROME	NA	NA	NA
TRINITY_DN19667_c0_g1_i1	sp	Q1LXR6	DZAN1_DANRE	NA	NA	NA
TRINITY_DN1967_c2_g1_i1	sp	A1ZAY1	DLISH_DROME	NA	NA	NA
TRINITY_DN1967_c2_g1_i2	sp	A1ZAY1	DLISH_DROME	NA	NA	NA
TRINITY_DN1967_c2_g1_i3	sp	A1ZAY1	DLISH_DROME	NA	NA	NA
TRINITY_DN1967_c2_g1_i4	sp	A1ZAY1	DLISH_DROME	NA	NA	NA
TRINITY_DN19673_c0_g1_i1	sp	O75346	ZN253_HUMAN	NA	NA	NA
TRINITY_DN19674_c0_g3_i1	sp	A0JMI9	RRF2M_DANRE	NA	NA	NA
TRINITY_DN19674_c0_g3_i3	sp	A6QNM2	RRF2M_BOVIN	NA	NA	NA
TRINITY_DN19674_c0_g3_i5	sp	A0JMI9	RRF2M_DANRE	NA	NA	NA
TRINITY_DN19674_c0_g3_i6	sp	A0JMI9	RRF2M_DANRE	NA	NA	NA
TRINITY_DN19676_c0_g1_i1	sp	Q6ZMW2	ZN782_HUMAN	NA	NA	NA
TRINITY_DN19678_c0_g1_i2	sp	Q7SIG4	DFPA_LOLVU	NA	NA	NA
TRINITY_DN19684_c0_g1_i1	sp	O35162	HSP13_RAT	NA	NA	NA
TRINITY_DN1969_c0_g1_i1	sp	A6QPT6	ZN274_BOVIN	NA	NA	NA
TRINITY_DN1969_c0_g1_i5	sp	P0C6Y7	PRDM9_RAT	NA	NA	NA
TRINITY_DN1969_c0_g1_i6	sp	Q96EQ9	PRDM9_MOUSE	NA	NA	NA
TRINITY_DN1969_c0_g2_i1	sp	P51523	ZNF84_HUMAN	NA	NA	NA
TRINITY_DN1969_c0_g2_i2	sp	P51522	ZNF83_HUMAN	NA	NA	NA
TRINITY_DN1969_c0_g2_i3	sp	Q0VAW7	ZN112_MOUSE	NA	NA	NA
TRINITY_DN1969_c0_g4_i1	sp	Q96EQ9	PRDM9_MOUSE	NA	NA	NA
TRINITY_DN1969_c0_g4_i3	sp	Q6ZMW2	ZN782_HUMAN	NA	NA	NA
TRINITY_DN1969_c0_g4_i4	sp	Q6ZS27	ZN662_HUMAN	NA	NA	NA
TRINITY_DN1969_c0_g4_i7	sp	Q8N4W9	ZN808_HUMAN	NA	NA	NA
TRINITY_DN1969_c1_g1_i1	sp	Q13360	ZN177_HUMAN	NA	NA	NA
TRINITY_DN1969_c1_g2_i1	sp	Q9NQV7	PRDM9_HUMAN	NA	NA	NA
TRINITY_DN1969_c12_g1_i1	sp	Q96NI8	ZN570_HUMAN	NA	NA	NA
TRINITY_DN1969_c12_g1_i2	sp	A6NK53	ZN233_HUMAN	NA	NA	NA
TRINITY_DN1969_c12_g2_i2	sp	Q9C0F3	ZN436_HUMAN	NA	NA	NA
TRINITY_DN1969_c12_g3_i1	sp	O75467	Z324A_HUMAN	NA	NA	NA
TRINITY_DN1969_c12_g4_i1	sp	Q5R5U3	ZN271_PONAB	NA	NA	NA
TRINITY_DN1969_c16_g1_i1	sp	P51523	ZNF84_HUMAN	NA	NA	NA
TRINITY_DN1969_c16_g2_i1	sp	P51523	ZNF84_HUMAN	NA	NA	NA
TRINITY_DN1969_c16_g3_i1	sp	P0C6Y7	PRDM9_RAT	NA	NA	NA
TRINITY_DN1969_c21_g1_i1	sp	P0C6Y7	PRDM9_RAT	NA	NA	NA
TRINITY_DN1969_c25_g1_i1	sp	O93567	ZBT7A_CHICK	NA	NA	NA
TRINITY_DN1969_c26_g1_i1	sp	P08042	ZFP1_MOUSE	NA	NA	NA
TRINITY_DN1969_c3_g1_i1	sp	Q7Z7L9	ZSCA2_HUMAN	NA	NA	NA
TRINITY_DN1969_c5_g1_i1	sp	Q9NV72	ZN701_HUMAN	NA	NA	NA
TRINITY_DN1969_c5_g2_i1	sp	Q96GC6	ZN274_HUMAN	NA	NA	NA
TRINITY_DN1969_c7_g1_i1	sp	A6NK53	ZN233_HUMAN	NA	NA	NA
TRINITY_DN1969_c8_g1_i1	sp	Q61967	ZFP90_MOUSE	NA	NA	NA
TRINITY_DN19690_c0_g1_i5	sp	Q8WYQ5	DGCR8_HUMAN	NA	NA	NA
TRINITY_DN19690_c0_g1_i6	sp	Q8WYQ5	DGCR8_HUMAN	NA	NA	NA
TRINITY_DN19690_c0_g1_i7	sp	Q8WYQ5	DGCR8_HUMAN	NA	NA	NA
TRINITY_DN19691_c0_g1_i1	sp	P51523	ZNF84_HUMAN	NA	NA	NA
TRINITY_DN19691_c0_g1_i2	sp	P51523	ZNF84_HUMAN	NA	NA	NA
TRINITY_DN19691_c0_g1_i6	sp	P51523	ZNF84_HUMAN	NA	NA	NA
TRINITY_DN19691_c1_g1_i1	sp	Q8BJ90	ZN771_MOUSE	NA	NA	NA
TRINITY_DN19691_c1_g1_i2	sp	Q6ZMW2	ZN782_HUMAN	NA	NA	NA
TRINITY_DN19695_c0_g1_i1	sp	Q96IW7	SC22A_HUMAN	NA	NA	NA
TRINITY_DN19695_c0_g1_i4	sp	Q642F4	SC22A_RAT	NA	NA	NA
TRINITY_DN19695_c0_g1_i5	sp	Q96IW7	SC22A_HUMAN	NA	NA	NA
TRINITY_DN19695_c0_g1_i6	sp	Q96IW7	SC22A_HUMAN	NA	NA	NA
TRINITY_DN19697_c0_g1_i1	sp	Q7ZX96	NUP93_XENLA	NA	NA	NA
TRINITY_DN19698_c0_g1_i1	sp	Q96MW7	TIGD1_HUMAN	NA	NA	NA
TRINITY_DN19698_c0_g2_i2	sp	Q96MW7	TIGD1_HUMAN	NA	NA	NA
TRINITY_DN19699_c1_g1_i2	sp	Q8R3G1	PP1R8_MOUSE	NA	NA	NA
TRINITY_DN197_c0_g2_i3	sp	Q09575	YRD6_CAEEL	NA	NA	NA
TRINITY_DN197_c0_g2_i5	sp	Q09575	YRD6_CAEEL	NA	NA	NA
TRINITY_DN197_c0_g2_i6	sp	Q09575	YRD6_CAEEL	NA	NA	NA
TRINITY_DN197_c0_g3_i1	sp	Q09575	YRD6_CAEEL	NA	NA	NA
TRINITY_DN197_c1_g1_i3	sp	P10072	ZN875_HUMAN	NA	NA	NA
TRINITY_DN197_c1_g1_i4	sp	Q6PGE4	ZF316_MOUSE	NA	NA	NA
TRINITY_DN197_c10_g1_i1	sp	A6NK53	ZN233_HUMAN	NA	NA	NA
TRINITY_DN1970_c0_g1_i1	sp	Q9BQS8	FYCO1_HUMAN	NA	NA	NA
TRINITY_DN1970_c0_g1_i3	sp	Q9BQS8	FYCO1_HUMAN	NA	NA	NA
TRINITY_DN1970_c0_g1_i5	sp	Q8VDC1	FYCO1_MOUSE	NA	NA	NA
TRINITY_DN1970_c0_g1_i9	sp	Q9BQS8	FYCO1_HUMAN	NA	NA	NA
TRINITY_DN19700_c0_g1_i2	sp	Q14AX6	CDK12_MOUSE	NA	NA	NA
TRINITY_DN19700_c0_g1_i4	sp	B5DE93	CDK12_XENTR	NA	NA	NA
TRINITY_DN19701_c0_g5_i1	sp	Q9D1Q4	DPM3_MOUSE	NA	NA	NA
TRINITY_DN19701_c1_g1_i2	sp	Q9Y4U1	MMAC_HUMAN	NA	NA	NA
TRINITY_DN19702_c1_g2_i1	sp	P34439	HCDH1_CAEEL	NA	NA	NA
TRINITY_DN19704_c0_g1_i2	sp	Q4LDE5	SVEP1_HUMAN	NA	NA	NA
TRINITY_DN19705_c2_g1_i1	sp	P27980	POL_SIVVG	NA	NA	NA
TRINITY_DN19706_c0_g3_i8	sp	Q6GLK6	ACSF3_XENLA	NA	NA	NA
TRINITY_DN19710_c0_g1_i1	sp	Q28HC6	TGT_XENTR	NA	NA	NA
TRINITY_DN19710_c0_g1_i2	sp	Q28HC6	TGT_XENTR	NA	NA	NA
TRINITY_DN19711_c0_g1_i1	sp	F7D3V9	LGR5_XENTR	NA	NA	NA
TRINITY_DN19722_c0_g1_i2	sp	P35668	GSHB_XENLA	NA	NA	NA
TRINITY_DN19724_c0_g1_i12	sp	P15253	CALR_RABIT	NA	NA	NA
TRINITY_DN19724_c0_g1_i2	sp	P15253	CALR_RABIT	NA	NA	NA
TRINITY_DN19724_c0_g1_i5	sp	P15253	CALR_RABIT	NA	NA	NA
TRINITY_DN19724_c0_g1_i7	sp	P15253	CALR_RABIT	NA	NA	NA
TRINITY_DN19724_c0_g1_i8	sp	P15253	CALR_RABIT	NA	NA	NA
TRINITY_DN19724_c0_g2_i1	sp	Q7K4Q5	Y0417_DROME	NA	NA	NA
TRINITY_DN19724_c0_g2_i2	sp	P79126	PPM1G_BOVIN	NA	NA	NA
TRINITY_DN19724_c0_g2_i3	sp	Q7K4Q5	Y0417_DROME	NA	NA	NA
TRINITY_DN19725_c0_g1_i1	sp	Q7Z410	TMPS9_HUMAN	NA	NA	NA
TRINITY_DN19725_c0_g1_i2	sp	P03951	FA11_HUMAN	NA	NA	NA
TRINITY_DN19728_c0_g1_i1	sp	Q2KMM2	TPPC1_RAT	NA	NA	NA
TRINITY_DN19731_c0_g1_i1	sp	O77245	E75_METEN	NA	NA	NA
TRINITY_DN19731_c0_g1_i2	sp	O77245	E75_METEN	NA	NA	NA
TRINITY_DN19732_c0_g1_i2	sp	Q61586	GPAT1_MOUSE	NA	NA	NA
TRINITY_DN19739_c1_g2_i5	sp	Q4V622	CCH2R_DROME	NA	NA	NA
TRINITY_DN19739_c1_g2_i6	sp	Q4V622	CCH2R_DROME	NA	NA	NA
TRINITY_DN1974_c0_g1_i4	sp	Q6IP59	CTL2_XENLA	NA	NA	NA
